bibkey,phenomenon_taxonomy_root,phenomenon_taxonomy_leaf,phenomenon_taxonomy_alternate,validate_taxonomy,new_taxonomy_root,new_taxonomy_leaf
huiUDABenchmarkSuite2024,Retrieval,,,Retrieval - ,General Application,Document Retrieval
xiaFOFOBenchmarkEvaluate2024,Instruction Following,,,Instruction Following - ,General Capability,Instruction Following
wangMINTEvaluatingLLMs2024,Agents,Coding,,Agents - Coding,General Application,Coding Agents
valmeekamPlanBenchExtensibleBenchmark2023,Reasoning,Planning,,Reasoning - Planning,General Capability,Planning
zhangMELAMultilingualEvaluation2024,Multilinguality,,,Multilinguality - ,General Capability,Multilinguality
etxanizLatxaOpenLanguage2024,Multilinguality,,,Multilinguality - ,General Capability,Multilinguality
tangStrucbenchAreLarge2024,Code Generation,,,Code Generation - ,General Application,Data Analysis
schiappaRobustnessAnalysisVideolanguage2022,,,,,Missing,Missing
riemenschneiderExploringLargeLanguage2023,Multilinguality,,,Multilinguality - ,General Capability,Multilinguality
yuanRevisitingOutofdistributionRobustness2023,,,,,Missing,Missing
zoharLOVMLanguageonlyVision2023,,,,,Missing,Missing
qiPreservingKnowledgeInvariance2023,NLP,Extraction,,NLP - Extraction,General Application,Extraction
shahWhenFLUEMeets2022,Finance,,,Finance - ,Specific Application,Profesisonal Domains
kalyanWikiDONewBenchmark2024,Retrieval,,,Retrieval -,General Application,Document Retrieval
marchisioUnderstandingMitigatingLanguage2024,Multilinguality,,,Multilinguality - ,General Capability,Multilinguality
itoGeneralizationCapacityNeural2024,Language Modelling,Adaptability,,Language Modelling - Adaptability,General Capability,Adaptability
liMultimodalArXivDataset2024,VQA,Understanding,, ,General Capability,Visual Understanding
zouVGBenchEvaluatingLarge2024,Instruction Following,,, ,General Capability,Instruction Following
zhangXSemPLRCrosslingualSemantic2023,Multilinguality,,,Multilinguality - ,General Capability,Multilinguality
kimCarpeDiemEvaluation2024,Multilinguality,,,Multilinguality - ,General Capability,Multilinguality
sunInformalLanguageProcessing2024,Multilinguality,,,Multilinguality - ,General Capability,Multilinguality
wangPretrainingLanguageModel2023,Biology,,,Biology - ,Specific Application,Physical Sciences
bajpaiCanLLMsReplace2024,General Science,,,General Science - ,Specific Application,Physical Sciences
hauserLargeLanguageModelsExpertlevel2024,History,,,History - ,Specific Application,Social Sciences
sadatMSciNLIDiverseBenchmark2024,General Science,,,General Science - ,Specific Application,Physical Sciences
dengNewTermBenchmarkingRealtime2024,Language Modelling,Updating,,Language Modelling - Updating,General Application,Updating
changLocalizationMethodsActually2024,,,,,Missing,Missing
yeRoTBenchMultilevelBenchmark2024,Agents,Tool Use,,Agents - Tool Use,General Application,Tool Use
maMMLONGBENCHDOCBenchmarkingLongcontext2024,NLP,Long Context,,NLP - Long Context,General Capability,Long Context
kuratovBABILongTestingLimits2024,NLP,Long Context,,NLP - Long Context,General Capability,Long Context
wangAdaLEvalEvaluatingLongcontext2024,NLP,Long Context,,NLP - Long Context,General Capability,Long Context
zhangAnalyzingTemporalComplex2024,NLP,Long Context,,NLP - Long Context,General Capability,Long Context
saad-falconBenchmarkingBuildingLongcontext2024,,,,,Missing,Missing
liLooGLECanLongcontext2024,NLP,Long Context,,NLP - Long Context,General Capability,Long Context
wangLeaveNoDocument2024,NLP,Long Context,,NLP - Long Context,General Capability,Long Context
senelCoDA21EvaluatingLanguage2022,NLP,Understanding,,NLP - Understanding,General Capability,Natural Language Understanding
anLevalInstitutingStandardized2024,NLP,Long Context,,NLP - Long Context,General Capability,Long Context
zhangMarathonRaceRealm2024,NLP,Long Context,,NLP - Long Context,General Capability,Long Context
zhangBenchExtendingLong2024,NLP,Long Context,,NLP - Long Context,General Capability,Long Context
xuStresstestingLongcontextLanguage2024,Language Modelling,In-context Learning,,Language Modelling - In-context Learning,General Capability,In-context Learning
kwanM4LEMultiabilityMultirange2024,NLP,Long Context,,NLP - Long Context,General Capability,Long Context
baiLongBenchBilingualMultitask2024,NLP,Long Context,,NLP - Long Context,General Capability,Long Context
mahbubUnveilingEssencePoetry2023,NLP,Summarization,,NLP - Summarization,General Application,Summarization
fernandezSyllabusQACourseLogistics2024,Retrieval,,,Retrieval - ,General Application,Document Retrieval
suLivingMomentCan2024,Reasoning,Temporal,,Reasoning - Temporal,General Capability,Temporal Reasoning
krojerImageRetrievalContextual2022,Retrieval,,,Image Processing - ,General Application,Document Retrieval
rayColaBenchmarkCompositional2023,Reasoning,Compositional,,Reasoning - Compositional,General Capability,Compositional Reasoning
bhaskarBenchmarkingImprovingTexttoSQL2023,Code Generation,Natural Language,,,General Application,Code Generation
xuPEERComprehensiveMultitask2022,Biology,,,Biology - ,Specific Application,Physical Sciences
jangTemporalWikiLifelongBenchmark2022,Language Modelling,Updating,,Language Modelling - Updating,General Application,Updating
liuAgentBenchEvaluatingLLMs2024,Agents,,,Agents - General,General Capability,Core Agentic Capabilities
huangMetaToolBenchmarkLarge2024,Agents,Tool Use,,Agents - Tool Use,General Application,Tool Use
huangMLAgentBenchEvaluatingLanguage2024,Agents,Coding,,Agents - Coding,General Application,Coding Agents
yeGlobeSummChallengingBenchmark2024,NLP,Summarization,Multilinguality,NLP - Summarization,General Application,Summarization
huSportsMetricsBlendingText2024,Reasoning,Mathematical,,Reasoning - Mathematical,General Capability,Mathematical Reasoning
choiLoTabenchBenchmarkingLanguageoriented2024,Reasoning,Planning,,Reasoning - Planning,General Capability,Planning
huUnderstandingFactualKnowledge2024,,,,,Missing,Missing
songSLINGSinoLinguistic2022,Multilinguality,,,Multilinguality - ,General Capability,Multilinguality
athiwaratkunMultilingualEvaluationCode2023,Code Generation,,,Code Generation - ,General Application,Code Generation
pengCOPENProbingConceptual2022,NLP,Understanding,,NLP - Understanding,General Capability,Natural Language Understanding
hardalovBgGLUEBulgarianGeneral2023,NLP,Understanding,Multilinguality,NLP - Understanding,General Capability,Natural Language Understanding
liuEfficientNLPStandard2022,,,,,Missing,Missing
kwanMTevalMultiturnCapabilities2024,User Interaction,,,User Interaction - ,General Capability,User Interaction
naousReadMeBenchmarkingMultilingual2024,NLP,,,NLP - ,General Capability,Multilinguality
hengleStillNotQuite2024,Mental Health,,,Mental Health -,Specific Application,Social Sciences
shavrinaRussianSuperGLUERussianLanguage2020,NLP,Understanding,Multilinguality,NLP - Understanding,General Capability,Natural Language Understanding
taktashevaRuBLiMPRussianBenchmark2024,NLP,,Multilinguality,NLP - ,General Capability,Natural Language Understanding
liInfiBenchEvaluatingQuestionanswering2024,Code Generation,,,Code Generation - ,General Application,Code Generation
patelDARTevalComprehensiveDNA2024,,,,,Missing,Missing
duMercuryCodeEfficiency2024,Code Generation,,,Code Generation - ,General Application,Code Generation
xieFinBenHolisticFinancial2024,,,,,Missing,Missing
xiePIXIUComprehensiveBenchmark2023,,,,,Missing,Missing
linghuMultimodalSituatedReasoning2024,Reasoning,,,Reasoning - ,General Capability,Multimodal Reasoning
wuSTaRKBenchmarkingLLM2024,Retrieval,,,Retrieval - ,General Application,Document Retrieval
krumdickBizBenchQuantitativeReasoning2024,Finance,,,Finance - ,Specific Application,Profesisonal Domains
ghoshEPiCEmployingProverbs2022,Reasoning,Logical,,Reasoning - Logical,General Capability,Logical Reasoning
yuanUnlockingMarketsMultilingual2024,Retrieval,,,Retrieval - ,General Application,Document Retrieval
guoOpenGroundedPlanning2024,,,,,Missing,Missing
berdicevskisSuperlimSwedishLanguage2023,NLP,Understanding,,NLP - Understanding,General Capability,Natural Language Understanding
liuAsEPBenchmarkingDeep2024,,,,,Missing,Missing
wangMAVENARGCompletingPuzzle2024,NLP,Extraction,,NLP - Extraction,General Application,Extraction
jiangFollowBenchMultilevelFinegrained2024,Instruction Following,,,Instruction Following - ,General Capability,Instruction Following
romanouCRABAssessingStrength2023,Reasoning,,,Reasoning - ,General Capability,Logical Reasoning
zhaoFinanceMATHKnowledgeintensiveMath2024,Reasoning,Mathematics,Finance,,General Capability,Mathematical Reasoning
zhaoFinDVerExplainableClaim2024,Finance,,,Finance - ,Specific Application,Profesisonal Domains
magnussonPalomaBenchmarkEvaluating2024,Language Modelling,,,,General Capability,Adaptability
tangTofuEvalEvaluatingHallucinations2024,NLP,Summarization,,NLP - Summarization,General Application,Summarization
casolaMultiPICoMultilingualPerspectivist2024,NLP,,,NLP - ,General Capability,Multilinguality
yeFedLLMbenchRealisticBenchmarks2024,,,,,Missing,Missing
jinRWKUBenchmarkingRealworld2024,Language Modelling,Unlearning,,Language Modelling - Unlearning,General Application,Updating
jiangXFACTRMultilingualFactual2020,Knowledge,General,Multilinguality,Knowledge - General,General Application,General Knowledge
yuKoLACarefullyBenchmarking2024,Knowledge,General,,Knowledge - General,General Application,General Knowledge
subbiahSTORYSUMMEvaluatingFaithfulness2024,NLP,Summarization,,NLP - Summarization,General Application,Summarization
zhengNEOBENCHEvaluatingRobustness2024,Language Modelling,Updating,,Language Modelling - Updating,General Application,Updating
pfisterSuperGLEBerGermanLanguage2024,NLP,Understanding,,NLP - Understanding,General Capability,Natural Language Understanding
asthanaEvaluatingLLMsTargeted2024,NLP,Summarization,,NLP - Summarization,General Application,Summarization
campagnanoSRL4ESemanticRole2022,,,,,Missing,Missing
karpinskaOneThousandOne2024,NLP,Long Context,,NLP - Long Context,General Capability,Long Context
zhaoQTSummQueryfocusedSummarization2023,Code Generation,,,Code Generation - ,General Application,Data Analysis
suTextttConflictBankBenchmarkEvaluating2024,Factuality,,,,General Capability,Factuality
yangCRAGComprehensiveRAG2024,Retrieval,,,Retrieval - ,General Application,Document Retrieval
zhangSelenePioneeringAutomated2024,Code Generation,,,Code Generation - ,General Capability,Logical Reasoning
songMatSciNLPEvaluatingScientific2023,,,,,Missing,Missing
aiAdvancementGraphUnderstanding2024,,,,,Missing,Missing
gharaeeBIOSCAN5MMultimodalDataset2024,Biology,,,Biology - ,Specific Application,Physical Sciences
coda-fornoCogBenchLargeLanguage2024,Psychology,,,Psychology - ,Specific Application,Social Sciences
liTEGDBComprehensiveDataset2024,NLP,Extraction,,NLP - Extraction,General Application,Extraction
mitaStrikingGoldAdvertising2024,Business,,,Business - ,Specific Application,Profesisonal Domains
jacoviChainofthoughtStrongIts2024,Reasoning,Logical,,Reasoning - Logical,General Capability,Logical Reasoning
tanzerBenchmarkLearningTranslate2024,Language Modelling,In-context Learning,,Language Modelling - In-context Learning,General Capability,In-context Learning
ribeiroSTREETMULTITASKSTRUCTURED2023,Reasoning,,,Reasoning - ,General Capability,Logical Reasoning
yangDataTalesBenchmarkRealworld2024,Data Analysis,,,Data Analysis - ,General Application,Data Analysis
guptaTempTabQATemporalQuestion2023,Language Modelling,Updating,,Language Modelling - Updating,General Application,Updating
liangSceMQAScientificCollege2024,General Science,,,General Science - ,Specific Application,Physical Sciences
zhangHumorAIMassive2024,NLP,Understanding,,NLP - Understanding,General Capability,Natural Language Understanding
liMEQABenchmarkMultihop2024,Reasoning,,,Reasoning - ,General Capability,Compositional Reasoning
hoWikiWhyAnsweringExplaining2023,Reasoning,Commonsense,,Reasoning - Commonsense,General Capability,Commonsense Reasoning
sunRevealingPersonalityTraits2024,Psychology,,,Psychology - ,Specific Application,Social Sciences
zhangMultimodalSelfinstructSynthetic2024,Reasoning,Compositional,,Image Processing - ,General Capability,Compositional Reasoning
maExaminationCompositionalityLarge2024,Reasoning,Compositional,,Image Processing - ,General Capability,Compositional Reasoning
huangMetaLogicLogicalReasoning2022,Reasoning,Logical,,Reasoning - Logical,General Capability,Logical Reasoning
leeQASAAdvancedQuestion2023,Reasoning,Logical,,Reasoning - Logical,General Capability,Logical Reasoning
mirzaeeSPARTQATextualQuestion2021,Reasoning,Spatial,,Reasoning - Spatial,General Capability,Spatial Reasoning
bhargavaDiscoSenseCommonsenseReasoning2022,Reasoning,Commonsense,,Reasoning - Commonsense,General Capability,Commonsense Reasoning
hsiehSugarCrepeFixingHackable2023,Reasoning,Compositional,,Reasoning - Compositional,General Capability,Compositional Reasoning
renBEACONBenchmarkComprehensive2024,Biology,,,Biology - ,Specific Application,Physical Sciences
maSpreadsheetBenchChallengingReal2024,Code Generation,,,Code Generation - ,General Application,Data Analysis
guptaBiphoneModelingInter2023,NLP,Understanding,,NLP - Understanding,General Capability,Natural Language Understanding
zhuAreLargeLanguage2024,Data Analysis,,,Data Analysis - ,General Application,Data Analysis
houWikiContradictBenchmarkEvaluating2024,Knowledge,Conflicts,,Knowledge - Conflicts,General Application,Knowledge Conflicts
konIaCevalCodeGeneration2024,Code Generation,,,Code Generation - ,General Application,Code Generation
waghjaleECCOCanWe2024,Code Generation,,,Code Generation - ,General Application,Code Generation
wuClashEvalQuantifyingTugofwar2024,Knowledge,Conflicts,,Knowledge - Conflicts,General Application,Knowledge Conflicts
pressCiteMECanLanguage2024,Agents,,,Agents - General,General Capability,Factuality
jinShoppingMMLUMassive2024,Agents,Web,,,General Application,Web Agents
zhuangToolQADatasetLLM2023,Agents,Tool Use,,Agents - Tool Use,General Application,Tool Use
chenCopyBenchMeasuringLiteral2024,Language Modelling,Copyright,,,General Application,LLM Detection
liGLBenchComprehensiveBenchmark2024,,,,,Missing,Missing
ajithLitSearchRetrievalBenchmark2024,General Science,,,General Science - ,Specific Application,Physical Sciences
heMedEvalMultilevelMultitask2023,Medicine,,,Medicine - ,Specific Application,Medicine
duPAGEDBenchmarkProcedural2024,NLP,Extraction,,NLP - Extraction,General Application,Extraction
zhangRevisitingZerothorderOptimization2024,,,,,Missing,Missing
huangPositionTrustLLMTrustworthiness2024,,,,,Missing,Missing
zhangToolBeHonestMultilevelHallucination2024,Agents,Tool Use,,Agents - Tool Use,General Application,Tool Use
jinMARPLEBenchmarkLonghorizon2024,,,,,Missing,Missing
yeBenchmarkingLlmsUncertainty2024,Language Modelling,Calibration,,,General Capability,Reliability
maiapoloTinyBenchmarksEvaluatingLLMs2024,,,,,Missing,Missing
guoWhatCanLarge2023,Chemistry,,,Chemistry - ,Specific Application,Physical Sciences
wangCanLanguageModels2023,NLP,Extraction,,NLP - Extraction,General Application,Extraction
wuStreamBenchBenchmarkingContinuous2024,Agents,,,,General Application,Updating
alwajihPeacockFamilyArabic2024,,,,,Missing,Missing
piUOUOUncontextualizedUncommon2024,Grounding,,,Image Processing - ,General Capability,Grounding
billahnagoudiJASMINEArabicGPT2023,NLP,,Multilinguality,NLP - ,General Capability,Bias
corneliusBUSTBenchmarkEvaluation2024,,,,,Missing,Missing
changDrspiderDiagnosticEvaluation2023,Code Generation,Natural Language,,Code Generation - Natural Language,General Application,Code Generation
zengEvaluatingLargeLanguage2024,Instruction Following,,,Instruction Following - ,General Capability,Instruction Following
xuMAgICInvestigationLarge2024,Agents,,,Agents - ,General Capability,Core Agentic Capabilities
yanComprehensiveStudyTextattributed2023,NLP,Extraction,,NLP - Extraction,General Application,Extraction
liCanLargeLanguage2024,NLP,Extraction,,NLP - Extraction,General Application,Extraction
zhangDTGBComprehensiveBenchmark2024,NLP,Extraction,,NLP - Extraction,General Application,Extraction
huangEmbraceDivergenceRicher2024,NLP,Summarization,,NLP - Summarization,General Application,Summarization
amarOpenAspBenchmarkMultidocument2023,NLP,Summarization,,NLP - Summarization,General Application,Summarization
luMathVistaEvaluatingMathematical2024,Reasoning,Mathematics,,,General Capability,Mathematical Reasoning
liuRevisitingGoldStandard2023,NLP,Summarization,,NLP - Summarization,General Application,Summarization
cheangCanLMsGeneralize2023,NLP,Summarization,,NLP - Summarization,General Application,Summarization
liNewsBenchSystematicEvaluation2024,NLP,,,NLP - ,Specific Application,Profesisonal Domains
mouSGbenchEvaluatingLLM2024,,,,,Missing,Missing
madanRevisitingFewshotObject2024,,,,,Missing,Missing
dengMobilebenchEvaluationBenchmark2024,Agents,Web,,Agents - Web,General Application,Web Agents
romeroCVQACulturallydiverseMultilingual2024,Knowledge,Cultural,,Knowledge - Cultural,General Application,Cultural Knowledge
shaoNYUCTFBench2024,Agents,Web,,Agents - Web,General Application,Web Agents
chenAreWeRight2024,VQA,,,Image Processing - ,General Capability,Visual Understanding
jiLargeLanguageModels2024,Alignment,Alignment,,Alignment - Alignment,General Capability,Alignment
caoWorstPromptPerformance2024,Language Modelling,Robustness,,Language Modelling - Robustness,General Capability,Reliability
liFIREDatasetFeedback2024,Language Modelling,Updating,,Language Modelling - Updating,General Application,Updating
choiLLMsUnderstandSocial2023,,,,,Missing,Missing
wangLargeLanguageModels2024,,,,,Missing,Missing
wangPandaLMAutomaticEvaluation2024,,,,,Missing,Missing
huangEffiBenchBenchmarkingEfficiency2024,Code Generation,,,Code Generation - ,General Application,Code Generation
chaoJailbreakBenchOpenRobustness2024,Alignment,Alignment,,Alignment - Alignment,General Capability,Alignment
xuBagTricksBenchmarking2024,,,,,Missing,Missing
wangPictureWorthThousand2024,Reasoning,Spatial,,Reasoning - Spatial,General Capability,Spatial Reasoning
kasaiRealTimeQAWhats2023,Language Modelling,Updating,,,General Application,Updating
akhbariSETLEXSEMCHALLENGEUsing2024,Language Modelling,Robustness,,Language Modelling - Robustness,General Capability,Reliability
ahujaMEGAMultilingualEvaluation2023,,,,,Missing,Missing
tanBenchmarkingImprovingTemporal2023,Reasoning,Temporal,,Reasoning - Temporal,General Capability,Temporal Reasoning
wangJourneyBenchChallengingOnestop2024,VQA,,, ,General Capability,Visual Understanding
zhangSkippedBeatStudy2023,,,,,Missing,Missing
sonMultitaskInferenceCan2024,,,,,Missing,Missing
luLearnExplainMultimodal2022,Reasoning,,,Reasoning - ,Specific Application,Physical Sciences
zhangMultilingualLargeLanguage2023,,,,,Missing,Missing
liMembershipInferenceAttacks2024,,,,,Missing,Missing
chenDrAcademyBenchmarkEvaluating2024,Education,,,Education - ,Specific Application,Profesisonal Domains
lyuMMScanMultimodal3D2024,Grounding,,,Image Processing - ,General Capability,Grounding
heExploringCapacityPretrained2023,Reasoning,Planning,,Reasoning - Planning,General Capability,Planning
edmanCUTEMeasuringLLMs2024,NLP,,,NLP - ,General Capability,Compositional Reasoning
tianSciCodeResearchCoding2024,Code Generation,,,Code Generation - ,General Application,Code Generation
liuGeneralLoopInvariant2024,,,,,Missing,Missing
liWhenLlmsMeet2024,Reasoning,Logical,,Reasoning - Logical,General Capability,Logical Reasoning
wangNeedleMultimodalHaystack2024,VQA,Long Context,,VQA - Long Context,General Capability,Long Context
yuMMvetEvaluatingLarge2024,VQA,,,Image Processing - ,General Capability,Visual Understanding
zhangMIntRec20LargescaleBenchmark2024,VQA,Understanding,,NLP - Understanding,General Capability,Visual Understanding
shenTaskBenchBenchmarkingLarge2024,Agents,Tool Use,,Agents - Tool Use,General Application,Tool Use
huangDAcodeAgentData2024,Code Generation,,Data Science,Code Generation - ,General Application,Data Analysis
parcalabescuVALSETaskindependentBenchmark2022,VQA,,,Image Processing - ,General Capability,Grounding
huangConMeRethinkingEvaluation2024,Reasoning,Compositional,,Reasoning - Compositional,General Capability,Compositional Reasoning
geTGEA20Largescale2022,,,,,Missing,Missing
liEvoCodeBenchEvolvingCode2024,Code Generation,,,Code Generation - ,General Application,Code Generation
marinBENDBenchmarkingDNA2024,,,,,Missing,Missing
gongEvaluationLLMsSyntaxaware2024,Code Generation,,,Code Generation - ,General Application,Code Generation
bhatiaLocalConceptsUniversals2024,Knowledge,Cultural,,Knowledge - Cultural,General Application,Cultural Knowledge
kannenAestheticsCulturalCompetence2024,Knowledge,Cultural,,Knowledge - Cultural,General Application,Cultural Knowledge
yangInterCodeStandardizingBenchmarking2023,Agents,Coding,,Agents - Coding,General Application,Coding Agents
yanCodeScopeExecutionbasedMultilingual2024,Code Generation,,,Code Generation - ,General Application,Code Generation
zhangCarefulExaminationLarge2024,Reasoning,Mathematics,,,General Capability,Mathematical Reasoning
wuEvaluatingAnalyzingRelationship2024,VQA,,,Image Processing - ,General Capability,Spatial Reasoning
liNaturalBenchEvaluatingVisionlanguage2024,Language Modelling,Robustness,,Image Processing - ,General Capability,Reliability
yinSafeWorldGeodiverseSafety2024,Alignment,Safety,,Alignment - Safety,General Capability,Safety
liuRepoBenchBenchmarkingRepositorylevel2024,Code Generation,,,Code Generation - ,General Application,Code Generation
zhangBenchmarkingDataScience2024,Code Generation,,,Code Generation - ,General Application,Data Analysis
kimFANToMBenchmarkStresstesting2023,Theory of Mind,,,Theory of Mind - ,General Capability,Theory of Mind
huInfiAgentDABenchEvaluatingAgents2024,Code Generation,,,Code Generation - ,General Application,Data Analysis
fanNPHardEvalDynamicBenchmark2024,Reasoning,,,Reasoning - ,General Capability,Mathematical Reasoning
wangCanLanguageModels2024,Grounding,,,Grounding - ,General Capability,Grounding
liGSMplusComprehensiveBenchmark2024,Reasoning,Mathematical,,Reasoning - Mathematical,General Capability,Mathematical Reasoning
zhangMultiTrustComprehensiveBenchmark2024,Alignment,Safety,,Alignment - Safety,General Capability,Safety
bittonVisITbenchDynamicBenchmark2023,Instruction Following,,,Instruction Following - ,General Capability,Instruction Following
singhIndicGenBenchMultilingualBenchmark2024,NLP,,Multilinguality,NLP - ,General Capability,Multilinguality
castillo-boladoPromptsDynamicConversational2024,NLP,Long Context,,NLP - Long Context,General Capability,Long Context
chuTimeBenchComprehensiveEvaluation2024,Reasoning,Temporal,,Reasoning - Temporal,General Capability,Temporal Reasoning
srinivasanCLiMBContinualLearning2022,Language Modelling,Updating,,Language Modelling - Updating,General Application,Updating
liVRSBenchVersatileVisionlanguage2024,VQA,,,Image Processing - ,General Capability,Visual Understanding
linTruthfulQAMeasuringHow2022,Alignment,Alignment,,Alignment - Alignment,General Capability,Alignment
samdarshiConnectingDotsEvaluating2024,Reasoning,,,Reasoning - ,General Capability,Logical Reasoning
herediaXNLIeuDatasetCrosslingual2024,NLP,Understanding,Multilinguality,NLP - Understanding,General Capability,Natural Language Understanding
alamCTIBenchBenchmarkEvaluating2024,Alignment,Safety,,Alignment - Safety,General Capability,Safety
chenCoINBenchmarkContinual2024,,,,,Missing,Missing
jinJailbreakingLargeLanguage2024,Alignment,Safety,,Alignment - Safety,General Capability,Safety
zhouVLUEMultitaskMultidimension2022,Language Modelling,Adaptability,,Language Modelling - Adaptability,General Capability,Adaptability
liEmbodiedAgentInterface2024,,,,,Missing,Missing
liuExposingAttentionGlitches2023,NLP,Long Context,,NLP - Long Context,General Capability,Long Context
merdjanovskaNoiseBenchBenchmarkingImpact2024,NLP,Extraction,,NLP - Extraction,General Application,Extraction
jinMMToMQAMultimodalTheory2024,Theory of Mind,,,Theory of Mind - ,General Capability,Theory of Mind
dengCOLDBenchmarkChinese2022,Alignment,Safety,,Alignment - Safety,General Capability,Safety
saxonWhoEvaluatesEvaluations2024,,,,,Missing,Missing
krojerAreDiffusionModels2023,Grounding,,,Image Processing - ,General Capability,Grounding
tsurutaSARSCoV2InteractionDataset2024,Biology,,,Biology - ,Specific Application,Physical Sciences
maAgentBoardAnalyticalEvaluation2024,Reasoning,Planning,,Reasoning - Planning,General Capability,Planning
maruNibblingHardCore2022,NLP,Understanding,,NLP - Understanding,General Capability,Natural Language Understanding
chenCurriculumBroadcoverageBenchmark2022,NLP,Understanding,,NLP - Understanding,General Capability,Natural Language Understanding
xieOSWorldBenchmarkingMultimodal2024,Agents,Tool Use,,Agents - Tool Use,General Application,Tool Use
dasEXAMSVMultidisciplineMultilingual2024,VQA,,,Image Processing - ,General Capability,Multilinguality
jiangBRAINTEASERLateralThinking2023,Reasoning,,,Reasoning - ,General Capability,Logical Reasoning
ushioGenerativeLanguageModels2022,NLP,Extraction,,NLP - Extraction,General Application,Extraction
gingOpenendedVQABenchmarking2024,VQA,,,Image Processing - ,General Capability,Visual Understanding
hwangMultitaskBenchmarkKorean2022,Law,,,Law - ,Specific Application,Law
shiLargeLanguageModels2023,Reasoning,Mathematical,,Reasoning - Mathematical,General Capability,Mathematical Reasoning
xuMultiInstructImprovingMultimodal2023,,,,,Missing,Missing
leeVHELMHolisticEvaluation2024,VQA,,,Image Processing - ,General Capability,Visual Understanding
wangM4GTbenchEvaluationBenchmark2024,NLP,,,NLP - ,General Application,LLM Detection
comsaBenchmarkReasoningSpatial2023,Reasoning,Spatial,,Reasoning - Spatial,General Capability,Spatial Reasoning
luoCODISBenchmarkingContextdependent2024,VQA,,,Image Processing - ,General Capability,Visual Understanding
lalCaTbenchBenchmarkingLanguage2024,Reasoning,Planning,,Reasoning - Planning,General Capability,Planning
suActPlan1KBenchmarkingProcedural2024,Reasoning,Planning,,Reasoning - Planning,General Capability,Planning
yinGeoMLAMAGeodiverseCommonsense2022,Knowledge,Cultural,,Knowledge - Cultural,General Application,Cultural Knowledge
kesenViLMAZeroshotBenchmark2024,Grounding,,,Grounding - ,General Capability,Grounding
kurticMathadorLMDynamicBenchmark2024,Reasoning,Mathematical,,Reasoning - Mathematical,General Capability,Mathematical Reasoning
zhangCABComprehensiveAttention2023,NLP,Long Context,,NLP - Long Context,General Capability,Long Context
chenMLLMasajudgeAssessingMultimodal2024,LLM as a Judge,,,LLM as a Judge - ,General Application,LLM as a Judge
gandhiUnderstandingSocialReasoning2023,Theory of Mind,,,Theory of Mind - ,General Capability,Theory of Mind
bandarkarBelebeleBenchmarkParallel2024,NLP,Understanding,Multilinguality,NLP - Understanding,General Capability,Natural Language Understanding
panchalWhatSayWhen2024,User Interaction,,,User Interaction - ,General Capability,User Interaction
tianDiagnosingFirstorderLogical2021,Reasoning,Logical,,Reasoning - Logical,General Capability,Logical Reasoning
zhouRICAEvaluatingRobust2021,Reasoning,Logical,,Reasoning - Logical,General Capability,Logical Reasoning
agrawalLargeLanguageModels2022,NLP,Extraction,Medicine,NLP - Extraction,General Application,Extraction
