bibkey,inclusion,phenomenon_short,phenomenon_defined,phenomenon_contested,definition_scope,definition_integrity,definition_integrity_detail,task_face_validity,task_source,task_ecology,task_train_val,task_dataset_metadata,dataset_sampling_method,response_format,metric_definition,metric_access,metric_face_validity,metric_aggregation,metric_subscores,metric_metascoring,metric_fewshot,result_interpretation,results_comparison,results_comparison_explanation,results_human_baseline,results_author_validity,results_realism,authorship,benchmark_availability
liEvaluatingInstructionfollowingRobustness2024,Include,"General Capability (A broadly useful ability, which could be relevant to multiple applications)",No,Contested,Comprehensive,Single cohesive phenomenon,Not applicable,"yes, but only a small subset",Modified from another benchmark (e.g. translation into another language),Representative task (e.g. answering medical licensing exam questions),Test,No,"Convenience sample (creators found a set of tasks that was readily accessible), Unknown","Free response (e.g. summary paragraph, executable code)","Exact Match (accuracy, F1, precision, recall)",Outputs alone,Yes,Simple Mean,Yes,,Yes,No,No,No comparisons made,No,Yes,No,Industry,Yes
caoSpider2vHowFar2024,Include,"General Capability (A broadly useful ability, which could be relevant to multiple applications)",Yes,Contested,Subset,Composite phenomenon,Yes,Yes,"Real task examples (e.g. GitHub issues), Author-crafted task examples (e.g. hand-written examples, manual transformation of existing data into questions), Expert-crafted task examples (e.g. hand-written examples), Modified from another benchmark (e.g. translation into another language)",Partial real task (e.g. answering medical questions collected from real people),Test,Yes,"Convenience sample (creators found a set of tasks that was readily accessible), Targeted items (creators defined a task space and chose tasks within it strategically), Specific criteria (items were taken from a larger set based on specified rules)","Free response (e.g. summary paragraph, executable code), Extended interaction (e.g. conversation, calling an API and processing the response), Structured response (e.g. valid JSON, API call alone)","Exact Match (accuracy, F1, precision, recall), execution-based verification, file-based comparison, information-based validation",Outputs alone,Yes,Simple Mean,Yes,,No,Yes,Yes,Yes,No,Yes,The benchmark is itself realistic,Mix (multiple authors from industry and academia),Yes
aggarwalIndicXNLIEvaluatingMultilingual2022,Include,"General Capability (A broadly useful ability, which could be relevant to multiple applications)",Yes,Contested,Comprehensive,Single cohesive phenomenon,Not applicable,Yes,Modified from another benchmark (e.g. translation into another language),Constructed task (e.g. predicting medical diagnoses from clinicians' notes),"Test, Train, Validation",Yes,Unknown,Multiple choice,"Exact Match (accuracy, F1, precision, recall)",Outputs alone,Yes,Simple Mean,No,,No,Yes,No,No comparisons made,No,No,No,Mix (multiple authors from industry and academia),Yes
guoCanLlmsSolve2024,Include,"Specific Application (A single use case, where the benchmark is likely to be examples of that use case)",Yes,Widely-agreed,Comprehensive,Composite phenomenon,Yes,Yes,Real task examples (e.g. GitHub issues),Partial real task (e.g. answering medical questions collected from real people),Test,Yes,Convenience sample (creators found a set of tasks that was readily accessible),"Structured response (e.g. valid JSON, API call alone)","Exact Match (accuracy, F1, precision, recall), Many chemistry specific metrics, such as molecule validity, Fingerprint Tanimoto Similarity etc.",Outputs alone,Yes,Simple Mean,Yes,,No,Yes,No,No comparisons made,Yes,No,The benchmark is itself realistic,Academia,Yes
mathaiKGymPlatformDataset2024,Include,"Specific Application (A single use case, where the benchmark is likely to be examples of that use case)",Yes,Widely-agreed,Subset,Single cohesive phenomenon,No,Yes,"Real task examples (e.g. GitHub issues), Procedurally-generated task examples (e.g. Creating instances from a template)",Representative task (e.g. answering medical licensing exam questions),Test,Yes,Specific criteria (items were taken from a larger set based on specified rules),"Free response (e.g. summary paragraph, executable code)","Exact Match (accuracy, F1, precision, recall)",Outputs alone,Yes,Simple Mean,Yes,,No,Yes,Yes,Yes,,No,The benchmark is itself realistic,Mix (multiple authors from industry and academia),Yes
liFRoGEvaluatingFuzzy2024,Include,"General Capability (A broadly useful ability, which could be relevant to multiple applications)",No,Contested,Subset,Authors' description is unclear,No,No,Modified from another benchmark (e.g. translation into another language),Constructed task (e.g. predicting medical diagnoses from clinicians' notes),,Yes,"Convenience sample (creators found a set of tasks that was readily accessible), Specific criteria (items were taken from a larger set based on specified rules)",Multiple choice,"Exact Match (accuracy, F1, precision, recall)",Outputs alone,Yes,Simple Mean,Yes,,No,No,No,No comparisons made,No,No,No,Academia,Yes
maLargeLanguageModels2024,Include,"General Capability (A broadly useful ability, which could be relevant to multiple applications)",Yes,Contested,Subset,Composite phenomenon,Yes,Yes,"Author-crafted task examples (e.g. hand-written examples, manual transformation of existing data into questions), Procedurally-generated task examples (e.g. Creating instances from a template)",Representative task (e.g. answering medical licensing exam questions),Test,Yes,Specific criteria (items were taken from a larger set based on specified rules),"Free response (e.g. summary paragraph, executable code), Structured response (e.g. valid JSON, API call alone)","Exact Match (accuracy, F1, precision, recall), Correlation (Matthew's correlation, Pearson's r), Win Rate, Population Block Ratio (PBR), Resource Utilisation Ratio (RUR), Average Population Utilization (APU), Technology Rate (TR)",Outputs alone,Yes,Simple Mean,Yes,,No,Yes,Yes,Yes,Yes,Yes,The benchmark is itself realistic,Mix (multiple authors from industry and academia),Yes
sunHeadtotailHowKnowledgeable2024,Include,"General Capability (A broadly useful ability, which could be relevant to multiple applications)",Yes,Contested,Subset,Composite phenomenon,Yes,Yes,"Author-crafted task examples (e.g. hand-written examples, manual transformation of existing data into questions), Procedurally-generated task examples (e.g. Creating instances from a template)",Constructed task (e.g. predicting medical diagnoses from clinicians' notes),Test,Yes,Specific criteria (items were taken from a larger set based on specified rules),Short free response (e.g. single word or number),"Exact Match (accuracy, F1, precision, recall), LLM-as-a-Judge (text quality, preferences, NOT extracting answers for other metrics)",Outputs alone,Yes,Simple Mean,Yes,,,Yes,No,,No,Yes,No,Industry,Yes
chenExploringPotentialLarge2024,Include,"General Capability (A broadly useful ability, which could be relevant to multiple applications)",Yes,Widely-agreed,Subset,Composite phenomenon,Yes,Yes,"Real task examples (e.g. GitHub issues), Author-crafted task examples (e.g. hand-written examples, manual transformation of existing data into questions)",Representative task (e.g. answering medical licensing exam questions),Test,No,Random sample (creators defined a task space and sampled from it),"Multiple choice, Free response (e.g. summary paragraph, executable code)","Exact Match (accuracy, F1, precision, recall), n-gram (BLEU, ROUGE, chrF), Human ratings (text quality, preference, NOT manual scoring of other metrics)",Outputs alone,Yes,Simple Mean,Yes,,,Yes,Yes,Yes,No,Yes,No,Mix (multiple authors from industry and academia),Yes
huangOlympicArenaBenchmarkingMultidiscipline2024,Include,"General Capability (A broadly useful ability, which could be relevant to multiple applications)",Yes,Widely-agreed,Subset,Composite phenomenon,Yes,Yes,"Human exam questions (e.g. GRE questions), Author-crafted task examples (e.g. hand-written examples, manual transformation of existing data into questions)",Partial real task (e.g. answering medical questions collected from real people),"Test, Validation",Yes,Targeted items (creators defined a task space and chose tasks within it strategically),"Multiple choice, Short free response (e.g. single word or number)","Exact Match (accuracy, F1, precision, recall)",Outputs alone,Yes,Simple Mean,Yes,,No,Yes,No,No comparisons made,No,Yes,No,Mix (multiple authors from industry and academia),Yes
friederMathematicalCapabilitiesChatGPT2023,Include,"General Capability (A broadly useful ability, which could be relevant to multiple applications)",Yes,Widely-agreed,Subset,Single cohesive phenomenon,Yes,Yes,"Human exam questions (e.g. GRE questions), Expert-crafted task examples (e.g. hand-written examples), LLM-generated task examples (e.g. Filtered from responses to a prompt)",Partial real task (e.g. answering medical questions collected from real people),Test,Yes,Targeted items (creators defined a task space and chose tasks within it strategically),"Free response (e.g. summary paragraph, executable code)","Human ratings (text quality, preference, NOT manual scoring of other metrics)",Outputs alone,Yes,Simple Mean,Yes,,No,Yes,No,No comparisons made,No,Yes,No,Academia,Yes
chevalierLanguageModelsScience2024,Include,"Specific Application (A single use case, where the benchmark is likely to be examples of that use case)",No,Contested,Subset,Composite phenomenon,Yes,Yes,Expert-crafted task examples (e.g. hand-written examples),Representative task (e.g. answering medical licensing exam questions),Test,Yes,"Convenience sample (creators found a set of tasks that was readily accessible), Targeted items (creators defined a task space and chose tasks within it strategically)","Free response (e.g. summary paragraph, executable code)","Human ratings (text quality, preference, NOT manual scoring of other metrics), LLM-as-a-Judge (text quality, preferences, NOT extracting answers for other metrics)",Outputs alone,"Maybe - it relies on the GPT-4 evaluator being able to assess the correctness of the answer relative to human key points. If the GPT-4-as-a-judge lacked nuanced scientific understanding, it may fail to evaluate another LLM's response against the key points (e.g., requires capabilities for classic entailment,contradiction task). Howver, they do show high correlation empirically between GPT-4-as-a-judge and human evaluators. ",Simple Mean,Yes,,No,Yes,Yes,No,Yes,Yes,No,Mix (multiple authors from industry and academia),Yes
boginSUPEREvaluatingAgents2024,Include,"Specific Application (A single use case, where the benchmark is likely to be examples of that use case)",Yes,Contested,Subset,Single cohesive phenomenon,Not applicable,Yes,"Expert-crafted task examples (e.g. hand-written examples), LLM-generated task examples (e.g. Filtered from responses to a prompt)",Partial real task (e.g. answering medical questions collected from real people),Test,,Specific criteria (items were taken from a larger set based on specified rules),"Free response (e.g. summary paragraph, executable code)","Exact Match (accuracy, F1, precision, recall)",Outputs alone,Yes,Simple Mean,Yes,,No,Yes,No,No comparisons made,Yes,No,The benchmark is itself realistic,Non-profit,Yes
morabitoSTOPBenchmarkingLarge2024,Include,General form of bias,Yes,Contested,Subset,Composite phenomenon,Yes,Yes,"Author-crafted task examples (e.g. hand-written examples, manual transformation of existing data into questions), Procedurally-generated task examples (e.g. Creating instances from a template), LLM-generated task examples (e.g. Filtered from responses to a prompt)",Constructed task (e.g. predicting medical diagnoses from clinicians' notes),Test,Yes,Targeted items (creators defined a task space and chose tasks within it strategically),Multiple choice,"Exact Match (accuracy, F1, precision, recall)",Outputs alone,Yes,Simple Mean,Yes,,No,Yes,No,No comparisons made,Yes,Yes,No,Academia,Yes
bittonWinoGAViLGamifiedAssociation2022,Include,"General Capability (A broadly useful ability, which could be relevant to multiple applications)",Yes,Widely-agreed,,Single cohesive phenomenon,,Yes,"Author-crafted task examples (e.g. hand-written examples, manual transformation of existing data into questions)",Constructed task (e.g. predicting medical diagnoses from clinicians' notes),Test,Yes,Targeted items (creators defined a task space and chose tasks within it strategically),"Free response (e.g. summary paragraph, executable code)",Jaccard Index between model predictions and human-labeled associations,Outputs alone,Yes,Simple Mean,Yes,,No,Yes,No,No comparisons made,Yes,Yes,No,Academia,Yes
halevyFlexTapeCan`t2024,Include,Specific form of bias,Yes,Widely-agreed,Subset,Composite phenomenon,Yes,Yes,"Modified from another benchmark (e.g. translation into another language), Procedurally-generated task examples (e.g. Creating instances from a template)",Constructed task (e.g. predicting medical diagnoses from clinicians' notes),Test,Yes,"Targeted items (creators defined a task space and chose tasks within it strategically), Specific criteria (items were taken from a larger set based on specified rules)","Short free response (e.g. single word or number), Free response (e.g. summary paragraph, executable code)","Exact Match (accuracy, F1, precision, recall), Human ratings (text quality, preference, NOT manual scoring of other metrics), LLM-as-a-Judge (text quality, preferences, NOT extracting answers for other metrics), Output probability change of attribute",Model access required (e.g. logits),Yes,Simple Mean,Yes,,No,Yes,No,No comparisons made,No,No,No,Academia,Yes
